instance_size,num_variables,seed,solver,objective_value,optimality_gap,raw_feasibility_rate,repaired_feasible,runtime_sec,circuit_depth,two_qubit_gates,evaluations_count
8x3,24,71,QAOA_p1,12313.97,52.09,0.0,True,21.6547,35.0,0.0,17
8x3,24,83,Exact_MILP,12261.88,0.0,1.0,True,0.03274,0.0,0.0,1
8x3,24,83,Random_Sampler,12284.42,22.54,0.0,True,0.1423,0.0,0.0,1000
8x3,24,83,Simulated_Annealing,12262.44,0.56,0.0,True,0.00755,0.0,0.0,684
8x3,24,83,QAOA_p1,12291.91,30.03,0.0,True,25.4993,35.0,0.0,20
8x3,24,97,Exact_MILP,12261.88,0.0,1.0,True,0.03429,0.0,0.0,1
8x3,24,97,Random_Sampler,12375.62,113.74,0.0,True,0.13337,0.0,0.0,1000
8x3,24,97,Simulated_Annealing,12262.44,0.56,0.0,True,0.00613,0.0,0.0,684
8x3,24,97,QAOA_p1,12271.74,9.86,0.0,True,25.9525,35.0,0.0,20
8x3,24,109,Exact_MILP,12261.88,0.0,1.0,True,0.03444,0.0,0.0,1
8x3,24,109,Random_Sampler,12418.91,157.03,0.0,True,0.13481,0.0,0.0,1000
8x3,24,109,Simulated_Annealing,12262.44,0.56,0.0,True,0.00604,0.0,0.0,684
8x3,24,109,QAOA_p1,12417.27,155.39,0.0,True,24.8214,35.0,0.0,19
8x3,24,127,Exact_MILP,12261.88,0.0,1.0,True,0.03525,0.0,0.0,1
8x3,24,127,Random_Sampler,12271.39,9.51,0.0,True,0.11705,0.0,0.0,1000
8x3,24,127,Simulated_Annealing,12262.44,0.56,0.0,True,0.006,0.0,0.0,684
8x3,24,127,QAOA_p1,12318.13,56.25,0.0,True,25.7567,35.0,0.0,20
10x5,50,11,Exact_MILP,15117.12,0.0,1.0,True,0.08407,,,1
10x5,50,11,Random_Sampler,15314.37,197.25,0.0,True,0.24286,,,1000
10x5,50,11,Simulated_Annealing,15436.44,319.32,0.0,True,0.00792,,,684
10x5,50,23,Exact_MILP,15117.12,0.0,1.0,True,0.08802,,,1
10x5,50,23,Random_Sampler,15374.13,257.01,0.0,True,0.23869,,,1000
10x5,50,23,Simulated_Annealing,15436.44,319.32,0.0,True,0.00729,,,684
10x5,50,37,Exact_MILP,15117.12,0.0,1.0,True,0.08825,,,1
10x5,50,37,Random_Sampler,15334.67,217.55,0.0,True,0.24134,,,1000
10x5,50,37,Simulated_Annealing,15436.44,319.32,0.0,True,0.00622,,,684
10x5,50,42,Exact_MILP,15117.12,0.0,1.0,True,0.13236,,,1
10x5,50,42,Random_Sampler,15424.0,306.88,0.0,True,0.23255,,,1000
10x5,50,42,Simulated_Annealing,15436.44,319.32,0.0,True,0.00661,,,684
10x5,50,59,Exact_MILP,15117.12,0.0,1.0,True,0.08463,,,1
10x5,50,59,Random_Sampler,15442.28,325.16,0.0,True,0.24691,,,1000
10x5,50,59,Simulated_Annealing,15436.44,319.32,0.0,True,0.00691,,,684
10x5,50,71,Exact_MILP,15117.12,0.0,1.0,True,0.09314,,,1
10x5,50,71,Random_Sampler,15263.43,146.31,0.0,True,0.23388,,,1000
10x5,50,71,Simulated_Annealing,15436.44,319.32,0.0,True,0.00726,,,684
10x5,50,83,Exact_MILP,15117.12,0.0,1.0,True,0.09543,,,1
10x5,50,83,Random_Sampler,15317.22,200.1,0.0,True,0.22638,,,1000
10x5,50,83,Simulated_Annealing,15436.44,319.32,0.0,True,0.0061,,,684
10x5,50,97,Exact_MILP,15117.12,0.0,1.0,True,0.08688,,,1
10x5,50,97,Random_Sampler,15336.39,219.27,0.0,True,0.25107,,,1000
10x5,50,97,Simulated_Annealing,15436.44,319.32,0.0,True,0.00625,,,684
10x5,50,109,Exact_MILP,15117.12,0.0,1.0,True,0.08057,,,1
10x5,50,109,Random_Sampler,15321.37,204.25,0.0,True,0.23776,,,1000
10x5,50,109,Simulated_Annealing,15436.44,319.32,0.0,True,0.00722,,,684
10x5,50,127,Exact_MILP,15117.12,0.0,1.0,True,0.08464,,,1
10x5,50,127,Random_Sampler,15332.35,215.23,0.0,True,0.24468,,,1000
10x5,50,127,Simulated_Annealing,15436.44,319.32,0.0,True,0.00624,,,684
20x8,160,11,Exact_MILP,25411.76,0.0,1.0,True,24.47741,,,1
20x8,160,11,Random_Sampler,25858.76,447.0,0.0,True,0.75558,,,1000
20x8,160,11,Simulated_Annealing,25852.25,440.49,0.0,True,0.01224,,,684
20x8,160,23,Exact_MILP,25411.76,0.0,1.0,True,25.01008,,,1
20x8,160,23,Random_Sampler,26028.5,616.74,0.0,True,0.76195,,,1000
20x8,160,23,Simulated_Annealing,25852.25,440.49,0.0,True,0.0092,,,684
20x8,160,37,Exact_MILP,25411.76,0.0,1.0,True,24.46502,,,1
20x8,160,37,Random_Sampler,25852.25,440.49,0.0,True,0.74797,,,1000
20x8,160,37,Simulated_Annealing,25932.6,520.84,0.0,True,0.01477,,,684
20x8,160,42,Exact_MILP,25411.76,0.0,1.0,True,24.49314,,,1
20x8,160,42,Random_Sampler,25840.86,429.1,0.0,True,0.7006,,,1000
20x8,160,42,Simulated_Annealing,25737.41,325.65,0.0,True,0.00973,,,684
20x8,160,59,Exact_MILP,25411.76,0.0,1.0,True,23.96396,,,1
20x8,160,59,Random_Sampler,25599.36,187.6,0.0,True,0.72561,,,1000
20x8,160,59,Simulated_Annealing,25852.25,440.49,0.0,True,0.00908,,,684
20x8,160,71,Exact_MILP,25411.76,0.0,1.0,True,24.46003,,,1
20x8,160,71,Random_Sampler,25727.92,316.16,0.0,True,0.73435,,,1000
20x8,160,71,Simulated_Annealing,26085.42,673.66,0.0,True,0.0096,,,684
20x8,160,83,Exact_MILP,25411.76,0.0,1.0,True,24.26477,,,1
20x8,160,83,Random_Sampler,26000.85,589.09,0.0,True,0.77519,,,1000
20x8,160,83,Simulated_Annealing,25852.25,440.49,0.0,True,0.01227,,,684
20x8,160,97,Exact_MILP,25411.76,0.0,1.0,True,24.26306,,,1
20x8,160,97,Random_Sampler,25892.48,480.72,0.0,True,0.7571,,,1000
20x8,160,97,Simulated_Annealing,25852.25,440.49,0.0,True,0.0104,,,684
20x8,160,109,Exact_MILP,25411.76,0.0,1.0,True,23.71127,,,1
20x8,160,109,Random_Sampler,25965.53,553.77,0.0,True,0.73459,,,1000
20x8,160,109,Simulated_Annealing,25852.25,440.49,0.0,True,0.00858,,,684
20x8,160,127,Exact_MILP,25411.76,0.0,1.0,True,23.94387,,,1
20x8,160,127,Random_Sampler,25869.08,457.32,0.0,True,0.75237,,,1000
20x8,160,127,Simulated_Annealing,25852.25,440.49,0.0,True,0.00983,,,684
